Anno;CAP;totale_veicoli;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;ALTRE ALIMENTAZIONI;ALIMENTAZIONE NON DEFINITO;18 - 25 ANNI;26 - 35 ANNI;36 - 50 ANNI;51 - 60 ANNI;61 - 70 ANNI;0 - 17 ANNI;ETÀ NON CONTEMPLATO;ETÀ NON DEFINITO;OLTRE 70 ANNI;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 5B;EURO 6;EURO 6A;EURO 6B;EURO 6C;EURO 6D;EURO NON CONTEMPLATO;EURO NON DEFINITO;SESSO FEMMINILE;SESSO MASCHILE;SESSO ND;SOCIETÀ PA;SOCIETÀ SAPA;SOCIETÀ SAS;SOCIETÀ SNC;SOCIETÀ SOC;SOCIETÀ SPA;SOCIETÀ SRL;SOCIETÀ SURL;SRLS;ANZIANITÀ VEICOLO 0 - 1 ANNI;ANZIANITÀ VEICOLO 2 – 3 ANNI;ANZIANITÀ VEICOLO 4 – 5 ANNI;ANZIANITÀ VEICOLO 6 – 7 ANNI;ANZIANITÀ VEICOLO 8 – 9 ANNI;ANZIANITÀ VEICOLO 10 - 12 ANNI;ANZIANITÀ VEICOLO 13 - 15 ANNI;ANZIANITÀ VEICOLO OLTRE 15 ANNI;ANZIANITÀ VEICOLO NON DEFINITO
2021;ND;474;366;31;10;;66;;;;;1;;;59;91;74;;65;12;173;194;42;70;62;100;;;;;;;;;6;131;278;1;8;;6;3;27;4;16;;;;;;;;;48;419;7
2022;40123;3932;1925;314;125;22;1129;336;40;41;;;43;366;919;791;731;;408;18;656;380;73;162;190;774;672;;1656;;;;;22;3;1459;2065;3;1;;33;21;62;17;261;1;9;395;457;435;419;287;429;443;1064;3
2022;40125;5058;2514;329;164;33;1521;411;56;29;;1;43;421;922;1045;858;;638;9;1122;471;85;171;305;957;903;;2130;;;;;33;3;2064;2356;4;4;;42;42;214;31;295;;6;486;604;622;499;372;557;570;1345;3
2022;40129;9841;4141;1401;545;34;2980;597;30;112;;1;166;1010;2660;2265;1716;;458;13;1553;605;132;433;673;2283;1864;;3815;;;;;34;2;3699;5684;3;;;42;40;37;93;239;;4;793;1002;1145;1005;782;1221;1296;2594;3
2022;40132;14914;6255;1892;860;57;4644;928;60;218;;;300;1484;3969;3336;2336;;782;15;2692;743;186;529;872;3222;2859;;6444;;;;;57;2;5583;8549;;;;47;54;41;188;441;;11;1366;1719;1900;1646;1234;1764;1874;3409;2
2022;40133;20467;8863;2547;1006;105;6031;1532;76;307;;;297;2091;5366;4739;3205;;1011;9;3749;1038;245;721;1185;4437;3951;;8784;;;;;105;1;7718;11738;1;;;78;115;49;226;530;;12;2086;2331;2495;2174;1613;2501;2554;4708;5
2022;40134;8095;3875;795;357;27;2236;686;35;84;;;92;856;2095;1789;1490;;226;17;1530;463;88;267;462;1770;1548;;3468;;;;;27;2;3365;4504;1;;;27;35;57;10;96;;;746;910;1018;894;648;960;1005;1912;2
2022;40136;5410;2500;303;140;82;1642;633;74;36;;;92;406;1156;1128;1240;1;282;17;1088;438;79;231;309;861;904;;2505;;;;;82;1;2289;2839;1;;;23;14;43;11;187;;3;606;691;756;556;390;558;515;1335;3
2022;40137;12518;5849;1156;514;61;3485;1247;99;107;;;146;1123;3052;2626;2448;;498;39;2586;690;132;377;591;2452;2400;;5813;;;;;61;2;5308;6712;1;1;;66;51;70;23;279;1;6;1207;1599;1674;1458;1068;1482;1369;2658;3
2022;40139;21544;9360;2786;1234;68;6100;1617;88;289;;2;277;1977;5553;4651;3510;;495;30;5051;1061;237;761;1144;4634;4189;;9443;;;;;68;7;8707;12342;;84;;77;66;73;11;178;;6;1868;2578;2757;2485;1793;2666;2610;4777;10
2022;ND;433;339;29;9;;55;;;;;1;;;32;91;74;;65;12;159;188;40;63;51;86;;;;;;;;;5;117;251;1;8;;6;3;27;4;16;;;;;;;;;7;420;6
2023;40123;3923;1893;327;116;27;1043;424;55;38;;;52;379;839;806;738;;411;19;679;380;73;152;172;713;592;;1811;;;;;27;3;1440;2072;3;1;;34;18;59;18;262;1;15;349;458;437;436;319;354;421;1146;3
2023;40126;5381;2425;473;207;43;1534;580;73;46;;;48;539;1185;1005;938;;636;13;1017;485;90;192;263;993;880;;2430;;;;;43;5;1979;2766;18;22;;49;39;110;150;239;;9;562;550;615;563;394;552;578;1562;5
2023;40132;14891;6076;1911;815;91;4456;1236;93;213;;;300;1415;3897;3417;2308;;799;18;2737;728;164;483;799;3034;2724;;6866;;;;;91;2;5602;8490;;;;43;58;38;264;378;;18;1430;1381;1856;1716;1341;1629;1840;3696;2
